id,name,ammo,category,weight,price,description
184,Nephi's golf driver,none,13, 1, 500,"Nephi's golf driver is a unique golf club utilized as a two-handed weapon. Compared to its more common variant, the 9 iron, it is in more pristine condition and appears to be straight rather than old and battered. It has better critical damage but is more brittle than the standard golf club."
185,Baseball bat,none,13, 3, 250,"This melee weapon in Fallout: New Vegas is identical in appearance to the baseball bat seen in Fallout 3, but it deals more damage. "
186,Cattle prod,none,13, 3, 450,"Normally used for herding stubborn cattle, it has been re-purposed as a non-lethal weapon against humans. In addition to the taser-like prongs at the tip normally found on cattle prods, it has been outfitted with a thick, electrified metal coil around the striking end, hooked up to a pair of batteries taped down near the handle. "
187,Dress cane,none,13, 3, 40,"The dress cane is a melee weapon carried by the members of the White Glove Society. Like all things owned by the White Gloves, it is in excellent condition, and is made of a sturdy, shiny black wood with an ivory handle. It cannot be walked with and is always held as a weapon, even when walking slowly."
188,Lead pipe,none,13, 3, 75,"One of the ends has tape wrapped around it to improve grip, while the other is heavily corroded and/or bloodstained, and topped with a pipe fitting. Though it has a short reach, it has decent damage and a fast swing, making it an especially good melee weapon for players who are just starting out."
189,The Humble Cudgel,none,13, 3, 350,"The Humble Cudgel is a unique version of the lead pipe. It is less corroded, and has a T fitting on the end similar to a mallet. Its middle section is also slightly bent. The Humble Cudgel deals an extra 4 damage over its non-unique counterpart, and uses 3 less AP per attack when wielded in V.A.T.S. It also has 50% more item HP than the standard lead pipe. However, it has a somewhat shorter reach than a regular lead pipe; most likely a result of the kink in the main section of the pipe itself."
190,Nail board,none,13, 4, 250,"This 2x4 has several nails driven through it, with a whittled shaft to ensure a better grip. It looks identical to the version in Fallout 3, and is still used by super mutants."
191,Old Glory,none,13, 8, 2500,Old Glory is the signature weapon of Ulysses. It is a maple flag pole capped with a golden eagle. 
192,Pool cue,none,13, 1, 15,"The pool cue is a long, slim rod of polished wood decorated with colored stripes, used in cue sports. It has a long reach and does an average amount of damage."
193,Police baton,none,13, 2, 70,"A weapon meant to keep order, used by long-gone police. Now used by peacekeepers and trouble-makers alike."
194,Rebar club,none,13, 9, 500,"This crude weapon is a piece of concrete with three pieces of rebar sticking out of it. In addition, the bottom of the three rebars appears to be wound together with a strip of brown leather or cloth to make a handle. The club requires a Strength of 9 and a Melee Weapons skill of 50 for it to be at its maximum potential. "
195,Nuka Breaker,none,13, 8, 7800,"It is a Nuka-Cola sign, now re-purposed as a devastating melee weapon. It consists of a partially functioning Nuka-Cola neon sign which is mounted on a pole with an electric cord wrapped around the top, and tape at the bottom. The weapon uses a self-contained power supply. It does bonus electrical damage when a Critical Hit occurs."
196,Rolling pin,none,13, 1, 10,"A plain wooden rolling pin used in baking to flatten dough, with a couple thin streaks of blood down one side. It is the weakest melee weapon in the game, even with a Melee Weapons skill of 100 and all the relevant perks taken."
197,Shovel,none,13, 3, 55,"A wood handled shovel, useful for digging up graves. In combat it can be used against weaker enemies without wasting ammunition or the durability of stronger melee weapons."
198,Sledgehammer,none,13, 12, 130,The weapon consists of a long wooden shaft and a metal hammer head.
199,Super sledge,none,13, 20, 5800,"It is a heavy two-handed hammer, and contains a kinetic energy storage device to increase the knockback effect of the weapon. It is rather cumbersome and slow, but very powerful."
200,"Oh, Baby!",none,13, 20, 6200,"Oh, Baby! is a unique variant of the super sledge. It is much more powerful than the standard variant and has noticeably larger striking surfaces. Despite its rusted condition, it is one of the most powerful melee weapons in the game."
201,Tire iron,none,13, 3, 40,"A rusty old tire iron, normally used for loosening nuts from car tires. The tire iron has a high damage for a low-level weapon."
202,War club,none,13, 3, 75,"It is made of a hardwood native to the Zion Valley that has been sculpted into a 2-foot long club. The war club is the signature weapon of the Dead Horses tribe, hence the striking end of the weapon being shaped like a horse's head."
203,X-2 antenna,none,13, 15, 6000,"It is one of the many special antennas used to make the radar-guided repulsive field around the Big Mountain Research and Development Center, and for the transmissions of the X-2 array. When used as a weapon it focuses brainwave patterns and does electrical damage, causing extra damage to robots and power armor users."
204,Proton throwing axe,none,14, 1, 100,"It is similar in appearance to the proton axe, but is much smaller. It is a thrown weapon and it explodes on impact. These weapons are quite uncommon, so one should take careful aim when using one.
As an advantage towards robots, it can target a combat inhibitor in V.A.T.S. as if it's in full view, even if the robot is facing the player. Unlike the non throwing version, it does not have an EMP effect."
205,Protonic inversal throwing axe,none,14, 1, 200,"Like its larger counterpart, the protonic inversal throwing axe is a much more rare version of the standard proton throwing axe, being shortened and balanced for ranged combat. It does 20 more points of base damage than the normal proton throwing axe at the expense of being much rarer."
206,Throwing hatchet,none,14, 2, 20,"Throwing hatchets require a Strength of 1 and a Melee Weapons skill of 25 to be used effectively. Like their non-thrown counterparts, throwing hatchets inflict an additional 50% in Limb Damage and are one of the most damaging thrown weapons, with the exception of explosives. However, they are extremely heavy when compared to throwing spears and knives, and are also much less common."
207,Throwing knife,none,14, 0.5, 20,"Being the deadly weapon of choice for assassins, throwing knives are as silent as they are cunning. They are small, light weight, quick, and quiet. They are about seven inches in length and made of lightweight alloy with a handle wrapped in red ribbon."
208,Throwing knife spear,none,14, 0.65, 25,"The throwing knife spear is similar in shape and design to the knife spear, except it has only one cosmic knife aerodynamically tied to the end of it."
209,Throwing spear,none,14, 0.5, 25,"A primitive but effective weapon used by Caesar's Legion to take out opponents from a distance without having to rely on bullets. Simple to make, each spear consists of a six-foot-long wooden handle with a cloth grip and a sharp piece of jagged metal serving as the head. "
210,Tomahawk,none,14, 0.5, 75,"The tomahawk is a thrown weapon. It is a make-shift weapon, and is made out of two railway spikes secured to a pipe with electrical cable and a bungee cord with feathers, paint, and beads for decoration."
